metier,identifiant,competences,savoir-etre
Concepteur de jeux vidéo,7321460,,
Concepteur de jeux vidéo,7171386,,
Concepteur de jeux vidéo,6715816,,
Concepteur de jeux vidéo,6690897,,
Concepteur de jeux vidéo,6690362,,
Concepteur de jeux vidéo,6681324,,
Concepteur de jeux vidéo,6498151,,
Concepteur de jeux vidéo,6496493,,
Concepteur de jeux vidéo,6421268,,
Product owner,147KBLB,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,
Product owner,147JCVD,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,
Product owner,147HSFJ,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,Travail en équipe. Sens de la communication. Rigueur
Product owner,147HLGX,"Analyser les processus métier. Animation d'instances agiles (mêlée, démonstration, rétrospective, …). Animer une réunion. Architecture des systèmes d'information. Architecture réseau. business analyst. Concevoir des supports d'information et de communication. Conduite du changement. Contrôler et rédiger l'application des consignes. Coordonner l'activité d'une équipe. Coordonner les différentes étapes d'un projet. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Définir les évolutions d'un système d'information. Déployer des applications. Externalisation des systèmes d'information. figma et adobe suit. Gestion commerciale, relation clients. Gestion de projet. Identifier des choix stratégiques d'évolution des systèmes d'information de l'entreprise. Marketing / Mercatique. Mettre en oeuvre des préconisations fonctionnelles et techniques. Modélisation informatique. Méthode AGILE. Méthodes d'analyse (systémique, fonctionnelle, de risques, ...). Méthodologie SAFe. Méthodologie Scrum. Piloter un projet. Procéder aux phases de tests et de recettes des applications développées. Procédures d'appels d'offres. Procédures d'élaboration d'un plan de tests (étapes, scénarii...). Proposer une réponse à un appel d'offre. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire. Réaliser un reporting. scrum. Suivre l'avancement d'un projet. Techniques commerciales. Technologie de l'internet. Technologies de l'accessibilité numérique. Traiter l'information (collecter, classer et mettre à jour). Élaborer des propositions commerciales. Établir un cahier des charges",Travail en équipe. Sens de la communication. Sens de l'organisation
Product owner,147GTFF,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,
Product owner,147GGQB,Analyser les processus métier. Animer une réunion. Coordonner l'activité d'une équipe. Coordonner les différentes étapes d'un projet. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Gestion de projet. Méthode AGILE. Méthodologie Scrum. Piloter un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire. Réaliser un reporting. Suivre l'avancement d'un projet,Force de proposition. Capacité à fédérer. Sens de la communication
Product owner,147GDNT,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,
Product owner,147GBXJ,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire. Appétence pour le numérique,
Product owner,147CNCC,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,
Product owner,147BHGS,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,Curiosité. Travail en équipe. Autonomie
Product owner,147BGXT,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,Curiosité. Autonomie. Capacité de décision
Product owner,146ZWGC,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,Travail en équipe. Sens de la communication. Rigueur
Product owner,146YGPN,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,
Product owner,146XVHG,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,Force de proposition. Travail en équipe. Rigueur
Product owner,146WXJC,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,Travail en équipe. Sens de la communication. Sens de l'organisation
Product owner,146WPMQ,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,
Product owner,146WPLX,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,
